Updated On,State,State_code,Total Individuals Registered,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Individuals Vaccinated,Total Doses Administered
24/04/2021,India,IN-TT,117105343,8300170,59612,117105343,21080613,61078797,56011474,15072,12775153,125410802,117105343,138185956
24/04/2021,Andaman and Nicobar Islands,IN-AN,86796,3900,37,86796,9297,47109,39679,8,0,96093,86796,96093
24/04/2021,Andhra Pradesh,IN-AP,4543318,231700,1953,4543318,1126549,2310508,2232281,529,1035362,4634505,4543318,5669867
24/04/2021,Arunachal Pradesh,IN-AR,162665,11900,89,162665,46515,91561,71033,71,0,209180,162665,209180
24/04/2021,Assam,IN-AS,1592952,104270,907,1592952,412871,879818,712939,195,372430,1633393,1592952,2005823
24/04/2021,Bihar,IN-BR,5480243,405540,2613,5480243,881821,2792909,2686679,655,347867,6014197,5480243,6362064
24/04/2021,Chandigarh,IN-CH,137994,8300,61,137994,36727,80666,57322,6,0,174721,137994,174721
24/04/2021,Chhattisgarh,IN-CT,4721290,404600,3361,4721290,602920,2294723,2426072,495,78238,5245972,4721290,5324210
24/04/2021,Dadra and Nagar Haveli and Daman and Diu,IN-DN,76716,5400,54,76716,13385,45761,30952,3,0,90101,76716,90101
24/04/2021,Delhi,IN-DL,2395935,99450,792,2395935,566296,1396008,999520,407,892412,2069819,2395935,2962231
24/04/2021,Goa,IN-GA,237544,8200,59,237544,61576,119513,118013,18,0,299120,237544,299120
24/04/2021,Gujarat,IN-GJ,9495699,796685,5524,9495699,1940550,5032232,4462353,1114,1104672,10331577,9495699,11436249
24/04/2021,Haryana,IN-HR,3032220,163528,1346,3032220,470541,1560587,1471238,395,416043,3086718,3032220,3502761
24/04/2021,Himachal Pradesh,IN-HP,1354936,61050,531,1354936,182623,655054,699681,201,2,1537557,1354936,1537559
24/04/2021,Jammu and Kashmir,IN-JK,1691210,165150,1474,1691210,305511,1016079,674843,288,0,1996721,1691210,1996721
24/04/2021,Jharkhand,IN-JH,2550782,188800,1688,2550782,414239,1303973,1246566,243,251321,2713700,2550782,2965021
24/04/2021,Karnataka,IN-KA,7439115,700250,6474,7439115,1153723,3526465,3911703,947,854160,7738678,7439115,8592838
24/04/2021,Kerala,IN-KL,5788568,205317,1310,5788568,1039187,2615457,3172415,696,343411,6484344,5788568,6827755
24/04/2021,Ladakh,IN-LA,71714,3000,21,71714,24825,38705,33004,5,0,96539,71714,96539
24/04/2021,Lakshadweep,IN-LD,17253,1100,11,17253,3769,9874,7376,3,0,21022,17253,21022
24/04/2021,Madhya Pradesh,IN-MP,6942784,551060,4096,6942784,952601,3709657,3232300,827,713166,7182219,6942784,7895385
24/04/2021,Maharashtra,IN-MH,12326873,757640,4899,12326873,1903104,6647519,5677836,1518,1611245,12618732,12326873,14229977
24/04/2021,Manipur,IN-MN,124435,10890,97,124435,55765,82247,42183,5,0,180200,124435,180200
24/04/2021,Meghalaya,IN-ML,157665,35430,212,157665,51857,80233,77418,14,0,209522,157665,209522
24/04/2021,Mizoram,IN-MZ,170765,8040,29,170765,40345,86195,84563,7,0,211110,170765,211110
24/04/2021,Nagaland,IN-NL,137232,3150,20,137232,35047,82611,54612,9,0,172279,137232,172279
24/04/2021,Odisha,IN-OR,4733651,74070,429,4733651,793327,2460996,2271979,676,362400,5164578,4733651,5526978
24/04/2021,Puducherry,IN-PY,161889,9700,57,161889,19904,81699,80169,21,74,181719,161889,181793
24/04/2021,Punjab,IN-PB,2616660,441050,3607,2616660,307607,1486258,1130127,275,269488,2654779,2616660,2924267
24/04/2021,Rajasthan,IN-RJ,10298265,588150,2988,10298265,1908851,5201166,5095715,1384,577931,11629185,10298265,12207116
24/04/2021,Sikkim,IN-SK,153579,10400,53,153579,31870,82518,71040,21,0,185449,153579,185449
24/04/2021,Tamil Nadu,IN-TN,4376661,617336,4927,4376661,951254,2265694,2110488,479,757930,4569985,4376661,5327915
24/04/2021,Telangana,IN-TG,3500047,199705,1389,3500047,503781,1797477,1701884,686,580553,3423275,3500047,4003828
24/04/2021,Tripura,IN-TR,820575,98350,638,820575,191246,424969,395505,101,0,1011821,820575,1011821
24/04/2021,Uttar Pradesh,IN-UP,9779700,856799,5416,9779700,1997222,5500723,4277413,1564,1114240,10662682,9779700,11776922
24/04/2021,Uttarakhand,IN-UT,1519001,133860,623,1519001,332546,763711,755065,225,711,1850836,1519001,
24/04/2021,West Bengal,IN-WB,8227116,336400,1827,8227116,1711307,4413135,3813048,933,1075009,8863414,8227116,9938423
